title,url,source,difficulty,patterns
786. K-th Smallest Prime Fraction,https://leetcode.com/problems/k-th-smallest-prime-fraction,leetcode,Medium,"Binary Search,Heap/Priority Queue,Queue,Sorting Algorithms"
787. Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Dynamic Programming,Heap/Priority Queue,Queue,Graph Traversal"
788. Rotated Digits,https://leetcode.com/problems/rotated-digits,leetcode,Medium,Dynamic Programming
789. Escape The Ghosts,https://leetcode.com/problems/escape-the-ghosts,leetcode,Medium,Math and Geometry
790. Domino and Tromino Tiling,https://leetcode.com/problems/domino-and-tromino-tiling,leetcode,Medium,Dynamic Programming
791. Custom Sort String,https://leetcode.com/problems/custom-sort-string,leetcode,Medium,"Hash Table/Hash Map,String Manipulation,Sorting Algorithms"
792. Number of Matching Subsequences,https://leetcode.com/problems/number-of-matching-subsequences,leetcode,Medium,"Dynamic Programming,Binary Search,Trie,Hash Table/Hash Map,Sorting Algorithms"
793. Preimage Size of Factorial Zeroes Function,https://leetcode.com/problems/preimage-size-of-factorial-zeroes-function,leetcode,Hard,Binary Search
794. Valid Tic-Tac-Toe State,https://leetcode.com/problems/valid-tic-tac-toe-state,leetcode,Medium,Matrix Traversal
795. Number of Subarrays with Bounded Maximum,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum,leetcode,Medium,Two Pointers
796. Rotate String,https://leetcode.com/problems/rotate-string,leetcode,Easy,String Manipulation
797. All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Backtracking,Graph Traversal"
798. Smallest Rotation with Highest Score,https://leetcode.com/problems/smallest-rotation-with-highest-score,leetcode,Hard,Two Pointers
799. Champagne Tower,https://leetcode.com/problems/champagne-tower,leetcode,Medium,Dynamic Programming
800. Similar RGB Color,https://leetcode.com/problems/similar-rgb-color,leetcode,Easy,Hash Table/Hash Map
801. Minimum Swaps To Make Sequences Increasing,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing,leetcode,Hard,Dynamic Programming
802. Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Graph Traversal,Topological Sort"
803. Bricks Falling When Hit,https://leetcode.com/problems/bricks-falling-when-hit,leetcode,Hard,"Union Find (Disjoint Set),Matrix Traversal"
804. Unique Morse Code Words,https://leetcode.com/problems/unique-morse-code-words,leetcode,Easy,"Hash Table/Hash Map,String Manipulation"
805. Split Array With Same Average,https://leetcode.com/problems/split-array-with-same-average,leetcode,Hard,"Dynamic Programming,Bit Manipulation"
806. Number of Lines To Write String,https://leetcode.com/problems/number-of-lines-to-write-string,leetcode,Easy,String Manipulation
807. Max Increase to Keep City Skyline,https://leetcode.com/problems/max-increase-to-keep-city-skyline,leetcode,Medium,"Greedy,Matrix Traversal"
808. Soup Servings,https://leetcode.com/problems/soup-servings,leetcode,Medium,Dynamic Programming
809. Expressive Words,https://leetcode.com/problems/expressive-words,leetcode,Medium,"Two Pointers,String Manipulation"
810. Chalkboard XOR Game,https://leetcode.com/problems/chalkboard-xor-game,leetcode,Hard,Bit Manipulation
811. Subdomain Visit Count,https://leetcode.com/problems/subdomain-visit-count,leetcode,Medium,"Hash Table/Hash Map,String Manipulation"
812. Largest Triangle Area,https://leetcode.com/problems/largest-triangle-area,leetcode,Easy,Math and Geometry
813. Largest Sum of Averages,https://leetcode.com/problems/largest-sum-of-averages,leetcode,Medium,Dynamic Programming
814. Binary Tree Pruning,https://leetcode.com/problems/binary-tree-pruning,leetcode,Medium,"Depth-First Search (DFS),Tree Traversal"
815. Bus Routes,https://leetcode.com/problems/bus-routes,leetcode,Hard,"Breadth-First Search (BFS),Hash Table/Hash Map"
816. Ambiguous Coordinates,https://leetcode.com/problems/ambiguous-coordinates,leetcode,Medium,Backtracking
817. Linked List Components,https://leetcode.com/problems/linked-list-components,leetcode,Medium,"Linked List Manipulation,Hash Table/Hash Map"
818. Race Car,https://leetcode.com/problems/race-car,leetcode,Hard,Dynamic Programming
819. Most Common Word,https://leetcode.com/problems/most-common-word,leetcode,Easy,"Hash Table/Hash Map,String Manipulation"
820. Short Encoding of Words,https://leetcode.com/problems/short-encoding-of-words,leetcode,Medium,"Trie,Hash Table/Hash Map,String Manipulation"
821. Shortest Distance to a Character,https://leetcode.com/problems/shortest-distance-to-a-character,leetcode,Easy,"Two Pointers,String Manipulation"
822. Card Flipping Game,https://leetcode.com/problems/card-flipping-game,leetcode,Medium,Hash Table/Hash Map
823. Binary Trees With Factors,https://leetcode.com/problems/binary-trees-with-factors,leetcode,Medium,"Dynamic Programming,Hash Table/Hash Map,Sorting Algorithms"
824. Goat Latin,https://leetcode.com/problems/goat-latin,leetcode,Easy,String Manipulation
825. Friends Of Appropriate Ages,https://leetcode.com/problems/friends-of-appropriate-ages,leetcode,Medium,"Two Pointers,Binary Search,Sorting Algorithms"
826. Most Profit Assigning Work,https://leetcode.com/problems/most-profit-assigning-work,leetcode,Medium,"Two Pointers,Binary Search,Greedy,Sorting Algorithms"
827. Making A Large Island,https://leetcode.com/problems/making-a-large-island,leetcode,Hard,"Depth-First Search (DFS),Breadth-First Search (BFS),Union Find (Disjoint Set),Matrix Traversal"
828. Count Unique Characters of All Substrings of a Given String,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string,leetcode,Hard,"Dynamic Programming,Hash Table/Hash Map"
829. Consecutive Numbers Sum,https://leetcode.com/problems/consecutive-numbers-sum,leetcode,Hard,Math and Geometry
830. Positions of Large Groups,https://leetcode.com/problems/positions-of-large-groups,leetcode,Easy,String Manipulation
831. Masking Personal Information,https://leetcode.com/problems/masking-personal-information,leetcode,Medium,String Manipulation
832. Flipping an Image,https://leetcode.com/problems/flipping-an-image,leetcode,Easy,"Two Pointers,Matrix Traversal"
833. Find And Replace in String,https://leetcode.com/problems/find-and-replace-in-string,leetcode,Medium,"String Manipulation,Sorting Algorithms"
834. Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree,leetcode,Hard,"Depth-First Search (DFS),Dynamic Programming,Graph Traversal"
835. Image Overlap,https://leetcode.com/problems/image-overlap,leetcode,Medium,Matrix Traversal
836. Rectangle Overlap,https://leetcode.com/problems/rectangle-overlap,leetcode,Easy,Math and Geometry
837. New 21 Game,https://leetcode.com/problems/new-21-game,leetcode,Medium,"Dynamic Programming,Sliding Window"
838. Push Dominoes,https://leetcode.com/problems/push-dominoes,leetcode,Medium,"Dynamic Programming,Two Pointers"
839. Similar String Groups,https://leetcode.com/problems/similar-string-groups,leetcode,Hard,"Depth-First Search (DFS),Breadth-First Search (BFS),Union Find (Disjoint Set),Hash Table/Hash Map,String Manipulation"
840. Magic Squares In Grid,https://leetcode.com/problems/magic-squares-in-grid,leetcode,Medium,"Math and Geometry,Matrix Traversal"
841. Keys and Rooms,https://leetcode.com/problems/keys-and-rooms,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Graph Traversal"
842. Split Array into Fibonacci Sequence,https://leetcode.com/problems/split-array-into-fibonacci-sequence,leetcode,Medium,Backtracking
843. Guess the Word,https://leetcode.com/problems/guess-the-word,leetcode,Hard,"String Manipulation,Math and Geometry"
844. Backspace String Compare,https://leetcode.com/problems/backspace-string-compare,leetcode,Easy,"Two Pointers,Stack,String Manipulation"
845. Longest Mountain in Array,https://leetcode.com/problems/longest-mountain-in-array,leetcode,Medium,"Dynamic Programming,Two Pointers"
846. Hand of Straights,https://leetcode.com/problems/hand-of-straights,leetcode,Medium,"Greedy,Hash Table/Hash Map,Sorting Algorithms"
847. Shortest Path Visiting All Nodes,https://leetcode.com/problems/shortest-path-visiting-all-nodes,leetcode,Hard,"Breadth-First Search (BFS),Dynamic Programming,Bit Manipulation,Graph Traversal"
848. Shifting Letters,https://leetcode.com/problems/shifting-letters,leetcode,Medium,String Manipulation
849. Maximize Distance to Closest Person,https://leetcode.com/problems/maximize-distance-to-closest-person,leetcode,Medium,Two Pointers
850. Rectangle Area II,https://leetcode.com/problems/rectangle-area-ii,leetcode,Hard,Segment Tree
851. Loud and Rich,https://leetcode.com/problems/loud-and-rich,leetcode,Medium,"Depth-First Search (DFS),Graph Traversal,Topological Sort"
852. Peak Index in a Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array,leetcode,Medium,Binary Search
853. Car Fleet,https://leetcode.com/problems/car-fleet,leetcode,Medium,"Stack,Monotonic Stack,Sorting Algorithms"
854. K-Similar Strings,https://leetcode.com/problems/k-similar-strings,leetcode,Hard,"Breadth-First Search (BFS),String Manipulation"
855. Exam Room,https://leetcode.com/problems/exam-room,leetcode,Medium,"Heap/Priority Queue,Queue"
856. Score of Parentheses,https://leetcode.com/problems/score-of-parentheses,leetcode,Medium,"Stack,String Manipulation"
857. Minimum Cost to Hire K Workers,https://leetcode.com/problems/minimum-cost-to-hire-k-workers,leetcode,Hard,"Greedy,Heap/Priority Queue,Queue,Sorting Algorithms"
858. Mirror Reflection,https://leetcode.com/problems/mirror-reflection,leetcode,Medium,Math and Geometry
859. Buddy Strings,https://leetcode.com/problems/buddy-strings,leetcode,Easy,"Hash Table/Hash Map,String Manipulation"
860. Lemonade Change,https://leetcode.com/problems/lemonade-change,leetcode,Easy,Greedy
861. Score After Flipping Matrix,https://leetcode.com/problems/score-after-flipping-matrix,leetcode,Medium,"Greedy,Bit Manipulation,Matrix Traversal"
862. Shortest Subarray with Sum at Least K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k,leetcode,Hard,"Sliding Window,Binary Search,Heap/Priority Queue,Queue,Monotonic Queue"
863. All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal"
864. Shortest Path to Get All Keys,https://leetcode.com/problems/shortest-path-to-get-all-keys,leetcode,Hard,"Breadth-First Search (BFS),Bit Manipulation,Matrix Traversal"
865. Smallest Subtree with all the Deepest Nodes,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal,Hash Table/Hash Map"
866. Prime Palindrome,https://leetcode.com/problems/prime-palindrome,leetcode,Medium,Palindrome Patterns
867. Transpose Matrix,https://leetcode.com/problems/transpose-matrix,leetcode,Easy,Matrix Traversal
868. Binary Gap,https://leetcode.com/problems/binary-gap,leetcode,Easy,Bit Manipulation
869. Reordered Power of 2,https://leetcode.com/problems/reordered-power-of-2,leetcode,Medium,"Math and Geometry,Sorting Algorithms"
870. Advantage Shuffle,https://leetcode.com/problems/advantage-shuffle,leetcode,Medium,"Two Pointers,Greedy,Sorting Algorithms"
871. Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,leetcode,Hard,"Dynamic Programming,Greedy,Heap/Priority Queue,Queue"
872. Leaf-Similar Trees,https://leetcode.com/problems/leaf-similar-trees,leetcode,Easy,"Depth-First Search (DFS),Tree Traversal"
873. Length of Longest Fibonacci Subsequence,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence,leetcode,Medium,"Dynamic Programming,Hash Table/Hash Map"
874. Walking Robot Simulation,https://leetcode.com/problems/walking-robot-simulation,leetcode,Medium,Two Pointers
875. Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas,leetcode,Medium,Binary Search
876. Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,leetcode,Easy,"Two Pointers,Linked List Manipulation"
877. Stone Game,https://leetcode.com/problems/stone-game,leetcode,Medium,Dynamic Programming
878. Nth Magical Number,https://leetcode.com/problems/nth-magical-number,leetcode,Hard,Binary Search
879. Profitable Schemes,https://leetcode.com/problems/profitable-schemes,leetcode,Hard,Dynamic Programming
880. Decoded String at Index,https://leetcode.com/problems/decoded-string-at-index,leetcode,Medium,"Stack,String Manipulation"
881. Boats to Save People,https://leetcode.com/problems/boats-to-save-people,leetcode,Medium,"Two Pointers,Greedy,Sorting Algorithms"
882. Reachable Nodes In Subdivided Graph,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph,leetcode,Hard,"Heap/Priority Queue,Queue,Graph Traversal"
883. Projection Area of 3D Shapes,https://leetcode.com/problems/projection-area-of-3d-shapes,leetcode,Easy,"Math and Geometry,Matrix Traversal"
884. Uncommon Words from Two Sentences,https://leetcode.com/problems/uncommon-words-from-two-sentences,leetcode,Easy,"Hash Table/Hash Map,String Manipulation"
885. Spiral Matrix III,https://leetcode.com/problems/spiral-matrix-iii,leetcode,Medium,Matrix Traversal
886. Possible Bipartition,https://leetcode.com/problems/possible-bipartition,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Graph Traversal,Union Find (Disjoint Set)"
887. Super Egg Drop,https://leetcode.com/problems/super-egg-drop,leetcode,Hard,"Dynamic Programming,Binary Search"
888. Fair Candy Swap,https://leetcode.com/problems/fair-candy-swap,leetcode,Easy,"Binary Search,Hash Table/Hash Map,Sorting Algorithms"
889. Construct Binary Tree from Preorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,leetcode,Medium,"Divide and Conquer,Tree Traversal,Hash Table/Hash Map"
890. Find and Replace Pattern,https://leetcode.com/problems/find-and-replace-pattern,leetcode,Medium,"Hash Table/Hash Map,String Manipulation"
891. Sum of Subsequence Widths,https://leetcode.com/problems/sum-of-subsequence-widths,leetcode,Hard,"Math and Geometry,Sorting Algorithms"
892. Surface Area of 3D Shapes,https://leetcode.com/problems/surface-area-of-3d-shapes,leetcode,Easy,"Math and Geometry,Matrix Traversal"
893. Groups of Special-Equivalent Strings,https://leetcode.com/problems/groups-of-special-equivalent-strings,leetcode,Medium,"Hash Table/Hash Map,String Manipulation"
894. All Possible Full Binary Trees,https://leetcode.com/problems/all-possible-full-binary-trees,leetcode,Medium,"Dynamic Programming,Recursion,Tree Traversal"
895. Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack,leetcode,Hard,"Stack,Hash Table/Hash Map"
896. Monotonic Array,https://leetcode.com/problems/monotonic-array,leetcode,Easy,Two Pointers
897. Increasing Order Search Tree,https://leetcode.com/problems/increasing-order-search-tree,leetcode,Easy,"Depth-First Search (DFS),Binary Search,Stack,Tree Traversal"
898. Bitwise ORs of Subarrays,https://leetcode.com/problems/bitwise-ors-of-subarrays,leetcode,Medium,"Dynamic Programming,Bit Manipulation"
899. Orderly Queue,https://leetcode.com/problems/orderly-queue,leetcode,Hard,"String Manipulation,Math and Geometry,Sorting Algorithms"
900. RLE Iterator,https://leetcode.com/problems/rle-iterator,leetcode,Medium,Two Pointers
901. Online Stock Span,https://leetcode.com/problems/online-stock-span,leetcode,Medium,"Stack,Monotonic Stack"
902. Numbers At Most N Given Digit Set,https://leetcode.com/problems/numbers-at-most-n-given-digit-set,leetcode,Hard,"Dynamic Programming,Binary Search"
903. Valid Permutations for DI Sequence,https://leetcode.com/problems/valid-permutations-for-di-sequence,leetcode,Hard,Dynamic Programming
904. Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets,leetcode,Medium,"Sliding Window,Hash Table/Hash Map"
905. Sort Array By Parity,https://leetcode.com/problems/sort-array-by-parity,leetcode,Easy,"Two Pointers,Sorting Algorithms"
906. Super Palindromes,https://leetcode.com/problems/super-palindromes,leetcode,Hard,Palindrome Patterns
907. Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums,leetcode,Medium,"Dynamic Programming,Stack,Monotonic Stack"
908. Smallest Range I,https://leetcode.com/problems/smallest-range-i,leetcode,Easy,Math and Geometry
909. Snakes and Ladders,https://leetcode.com/problems/snakes-and-ladders,leetcode,Medium,"Breadth-First Search (BFS),Matrix Traversal"
910. Smallest Range II,https://leetcode.com/problems/smallest-range-ii,leetcode,Medium,"Greedy,Sorting Algorithms"
911. Online Election,https://leetcode.com/problems/online-election,leetcode,Medium,"Binary Search,Hash Table/Hash Map"
912. Sort an Array,https://leetcode.com/problems/sort-an-array,leetcode,Medium,"Heap/Priority Queue,Divide and Conquer,Queue,Sorting Algorithms,Intervals/Merge Intervals"
913. Cat and Mouse,https://leetcode.com/problems/cat-and-mouse,leetcode,Hard,"Dynamic Programming,Graph Traversal,Topological Sort"
914. X of a Kind in a Deck of Cards,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards,leetcode,Easy,"Hash Table/Hash Map,Math and Geometry"
915. Partition Array into Disjoint Intervals,https://leetcode.com/problems/partition-array-into-disjoint-intervals,leetcode,Medium,Two Pointers
916. Word Subsets,https://leetcode.com/problems/word-subsets,leetcode,Medium,"Hash Table/Hash Map,String Manipulation"
917. Reverse Only Letters,https://leetcode.com/problems/reverse-only-letters,leetcode,Easy,"Two Pointers,String Manipulation"
918. Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray,leetcode,Medium,"Dynamic Programming,Divide and Conquer,Queue,Monotonic Queue"
919. Complete Binary Tree Inserter,https://leetcode.com/problems/complete-binary-tree-inserter,leetcode,Medium,"Breadth-First Search (BFS),Tree Traversal"
920. Number of Music Playlists,https://leetcode.com/problems/number-of-music-playlists,leetcode,Hard,Dynamic Programming
921. Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,leetcode,Medium,"Greedy,Stack,String Manipulation"
922. Sort Array By Parity II,https://leetcode.com/problems/sort-array-by-parity-ii,leetcode,Easy,"Two Pointers,Sorting Algorithms"
923. 3Sum With Multiplicity,https://leetcode.com/problems/3sum-with-multiplicity,leetcode,Medium,"Two Pointers,Sorting Algorithms,Hash Table/Hash Map"
924. Minimize Malware Spread,https://leetcode.com/problems/minimize-malware-spread,leetcode,Hard,"Depth-First Search (DFS),Breadth-First Search (BFS),Graph Traversal,Union Find (Disjoint Set),Hash Table/Hash Map"
925. Long Pressed Name,https://leetcode.com/problems/long-pressed-name,leetcode,Easy,"Two Pointers,String Manipulation"
926. Flip String to Monotone Increasing,https://leetcode.com/problems/flip-string-to-monotone-increasing,leetcode,Medium,Dynamic Programming
927. Three Equal Parts,https://leetcode.com/problems/three-equal-parts,leetcode,Hard,Math and Geometry
928. Minimize Malware Spread II,https://leetcode.com/problems/minimize-malware-spread-ii,leetcode,Hard,"Depth-First Search (DFS),Breadth-First Search (BFS),Graph Traversal,Union Find (Disjoint Set),Hash Table/Hash Map"
929. Unique Email Addresses,https://leetcode.com/problems/unique-email-addresses,leetcode,Easy,"Hash Table/Hash Map,String Manipulation"
930. Binary Subarrays With Sum,https://leetcode.com/problems/binary-subarrays-with-sum,leetcode,Medium,"Sliding Window,Hash Table/Hash Map"
931. Minimum Falling Path Sum,https://leetcode.com/problems/minimum-falling-path-sum,leetcode,Medium,"Dynamic Programming,Matrix Traversal"
932. Beautiful Array,https://leetcode.com/problems/beautiful-array,leetcode,Medium,Divide and Conquer
933. Number of Recent Calls,https://leetcode.com/problems/number-of-recent-calls,leetcode,Easy,Queue
934. Shortest Bridge,https://leetcode.com/problems/shortest-bridge,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Matrix Traversal"
935. Knight Dialer,https://leetcode.com/problems/knight-dialer,leetcode,Medium,Dynamic Programming
936. Stamping The Sequence,https://leetcode.com/problems/stamping-the-sequence,leetcode,Hard,"Greedy,Stack,Queue,String Manipulation"
937. Reorder Data in Log Files,https://leetcode.com/problems/reorder-data-in-log-files,leetcode,Medium,"String Manipulation,Sorting Algorithms"
938. Range Sum of BST,https://leetcode.com/problems/range-sum-of-bst,leetcode,Easy,"Depth-First Search (DFS),Binary Search,Tree Traversal"
939. Minimum Area Rectangle,https://leetcode.com/problems/minimum-area-rectangle,leetcode,Medium,"Hash Table/Hash Map,Math and Geometry,Sorting Algorithms"
940. Distinct Subsequences II,https://leetcode.com/problems/distinct-subsequences-ii,leetcode,Hard,Dynamic Programming
941. Valid Mountain Array,https://leetcode.com/problems/valid-mountain-array,leetcode,Easy,Two Pointers
942. DI String Match,https://leetcode.com/problems/di-string-match,leetcode,Easy,"Two Pointers,Greedy,String Manipulation"
943. Find the Shortest Superstring,https://leetcode.com/problems/find-the-shortest-superstring,leetcode,Hard,"Dynamic Programming,Bit Manipulation"
944. Delete Columns to Make Sorted,https://leetcode.com/problems/delete-columns-to-make-sorted,leetcode,Easy,String Manipulation
945. Minimum Increment to Make Array Unique,https://leetcode.com/problems/minimum-increment-to-make-array-unique,leetcode,Medium,"Greedy,Sorting Algorithms"
946. Validate Stack Sequences,https://leetcode.com/problems/validate-stack-sequences,leetcode,Medium,Stack
947. Most Stones Removed with Same Row or Column,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,leetcode,Medium,"Depth-First Search (DFS),Graph Traversal,Union Find (Disjoint Set),Hash Table/Hash Map"
948. Bag of Tokens,https://leetcode.com/problems/bag-of-tokens,leetcode,Medium,"Two Pointers,Greedy,Sorting Algorithms"
949. Largest Time for Given Digits,https://leetcode.com/problems/largest-time-for-given-digits,leetcode,Medium,String Manipulation
950. Reveal Cards In Increasing Order,https://leetcode.com/problems/reveal-cards-in-increasing-order,leetcode,Medium,"Queue,Sorting Algorithms"
951. Flip Equivalent Binary Trees,https://leetcode.com/problems/flip-equivalent-binary-trees,leetcode,Medium,"Depth-First Search (DFS),Tree Traversal"
952. Largest Component Size by Common Factor,https://leetcode.com/problems/largest-component-size-by-common-factor,leetcode,Hard,"Union Find (Disjoint Set),Hash Table/Hash Map"
953. Verifying an Alien Dictionary,https://leetcode.com/problems/verifying-an-alien-dictionary,leetcode,Easy,"Hash Table/Hash Map,String Manipulation"
954. Array of Doubled Pairs,https://leetcode.com/problems/array-of-doubled-pairs,leetcode,Medium,"Greedy,Hash Table/Hash Map,Sorting Algorithms"
955. Delete Columns to Make Sorted II,https://leetcode.com/problems/delete-columns-to-make-sorted-ii,leetcode,Medium,"Greedy,String Manipulation"
956. Tallest Billboard,https://leetcode.com/problems/tallest-billboard,leetcode,Hard,Dynamic Programming
957. Prison Cells After N Days,https://leetcode.com/problems/prison-cells-after-n-days,leetcode,Medium,"Bit Manipulation,Hash Table/Hash Map"
958. Check Completeness of a Binary Tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree,leetcode,Medium,"Breadth-First Search (BFS),Tree Traversal"
959. Regions Cut By Slashes,https://leetcode.com/problems/regions-cut-by-slashes,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Union Find (Disjoint Set),Hash Table/Hash Map,Matrix Traversal"
960. Delete Columns to Make Sorted III,https://leetcode.com/problems/delete-columns-to-make-sorted-iii,leetcode,Hard,Dynamic Programming
961. N-Repeated Element in Size 2N Array,https://leetcode.com/problems/n-repeated-element-in-size-2n-array,leetcode,Easy,Hash Table/Hash Map
962. Maximum Width Ramp,https://leetcode.com/problems/maximum-width-ramp,leetcode,Medium,"Stack,Monotonic Stack"
963. Minimum Area Rectangle II,https://leetcode.com/problems/minimum-area-rectangle-ii,leetcode,Medium,Math and Geometry
964. Least Operators to Express Number,https://leetcode.com/problems/least-operators-to-express-number,leetcode,Hard,Dynamic Programming
965. Univalued Binary Tree,https://leetcode.com/problems/univalued-binary-tree,leetcode,Easy,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal"
966. Vowel Spellchecker,https://leetcode.com/problems/vowel-spellchecker,leetcode,Medium,"Hash Table/Hash Map,String Manipulation"
967. Numbers With Same Consecutive Differences,https://leetcode.com/problems/numbers-with-same-consecutive-differences,leetcode,Medium,"Breadth-First Search (BFS),Backtracking"
968. Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras,leetcode,Hard,"Depth-First Search (DFS),Dynamic Programming,Tree Traversal"
969. Pancake Sorting,https://leetcode.com/problems/pancake-sorting,leetcode,Medium,"Two Pointers,Greedy,Sorting Algorithms"
970. Powerful Integers,https://leetcode.com/problems/powerful-integers,leetcode,Medium,"Hash Table/Hash Map,Math and Geometry"
971. Flip Binary Tree To Match Preorder Traversal,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal,leetcode,Medium,"Depth-First Search (DFS),Tree Traversal"
972. Equal Rational Numbers,https://leetcode.com/problems/equal-rational-numbers,leetcode,Hard,"String Manipulation,Math and Geometry"
973. K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,leetcode,Medium,"Heap/Priority Queue,Divide and Conquer,Queue,Sorting Algorithms"
974. Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k,leetcode,Medium,Hash Table/Hash Map
975. Odd Even Jump,https://leetcode.com/problems/odd-even-jump,leetcode,Hard,"Dynamic Programming,Stack,Monotonic Stack"
976. Largest Perimeter Triangle,https://leetcode.com/problems/largest-perimeter-triangle,leetcode,Easy,"Greedy,Sorting Algorithms"
977. Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array,leetcode,Easy,"Two Pointers,Sorting Algorithms"
978. Longest Turbulent Subarray,https://leetcode.com/problems/longest-turbulent-subarray,leetcode,Medium,"Dynamic Programming,Sliding Window"
979. Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree,leetcode,Medium,"Depth-First Search (DFS),Tree Traversal"
980. Unique Paths III,https://leetcode.com/problems/unique-paths-iii,leetcode,Hard,"Backtracking,Bit Manipulation,Matrix Traversal"
981. Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store,leetcode,Medium,"Binary Search,Hash Table/Hash Map,String Manipulation"
982. Triples with Bitwise AND Equal To Zero,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,leetcode,Hard,"Bit Manipulation,Hash Table/Hash Map"
983. Minimum Cost For Tickets,https://leetcode.com/problems/minimum-cost-for-tickets,leetcode,Medium,Dynamic Programming
984. String Without AAA or BBB,https://leetcode.com/problems/string-without-aaa-or-bbb,leetcode,Medium,"Greedy,String Manipulation"
985. Sum of Even Numbers After Queries,https://leetcode.com/problems/sum-of-even-numbers-after-queries,leetcode,Medium,Two Pointers
986. Interval List Intersections,https://leetcode.com/problems/interval-list-intersections,leetcode,Medium,Two Pointers
987. Vertical Order Traversal of a Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,leetcode,Hard,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal,Hash Table/Hash Map"
988. Smallest String Starting From Leaf,https://leetcode.com/problems/smallest-string-starting-from-leaf,leetcode,Medium,"Depth-First Search (DFS),Tree Traversal,String Manipulation"
989. Add to Array-Form of Integer,https://leetcode.com/problems/add-to-array-form-of-integer,leetcode,Easy,Math and Geometry
990. Satisfiability of Equality Equations,https://leetcode.com/problems/satisfiability-of-equality-equations,leetcode,Medium,"Graph Traversal,Union Find (Disjoint Set),String Manipulation"
991. Broken Calculator,https://leetcode.com/problems/broken-calculator,leetcode,Medium,Greedy
992. Subarrays with K Different Integers,https://leetcode.com/problems/subarrays-with-k-different-integers,leetcode,Hard,"Sliding Window,Hash Table/Hash Map"
993. Cousins in Binary Tree,https://leetcode.com/problems/cousins-in-binary-tree,leetcode,Easy,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal"
994. Rotting Oranges,https://leetcode.com/problems/rotting-oranges,leetcode,Medium,"Breadth-First Search (BFS),Matrix Traversal"
995. Minimum Number of K Consecutive Bit Flips,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips,leetcode,Hard,"Sliding Window,Bit Manipulation,Queue"
996. Number of Squareful Arrays,https://leetcode.com/problems/number-of-squareful-arrays,leetcode,Hard,"Dynamic Programming,Backtracking,Bit Manipulation"
